job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000064,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_50,1,22,24,v1,v1,1927.0,0.261,0.22,00064,60,50
EP_CP_P1201_000000065,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_50,2,22,24,v1,v1,1069.5,0.093,0.122,00065,60,50
EP_CP_P1201_000000066,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_50,4,22,24,v1,v1,585.5,0.023,0.067,00066,60,50
EP_CP_P1201_000000067,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_50,8,22,24,v1,v1,381.5,0.009,0.044,00067,60,50
EP_CP_P1201_000000068,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_40,1,22,24,v1,v1,1754.75,0.193,0.2,00068,60,40
EP_CP_P1201_000000069,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_40,2,22,24,v1,v1,915.25,0.049,0.104,00069,60,40
EP_CP_P1201_000000070,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_40,4,22,24,v1,v1,488.0,0.011,0.056,00070,60,40
EP_CP_P1201_000000071,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,60_40,8,22,24,v1,v1,311.5,0.004,0.036,00071,60,40
EP_CP_P1201_000000072,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_50,1,22,24,v1,v1,1913.0,0.256,0.218,00072,50,50
EP_CP_P1201_000000073,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_50,2,22,24,v1,v1,1059.75,0.091,0.121,00073,50,50
EP_CP_P1201_000000074,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_50,4,22,24,v1,v1,579.5,0.022,0.066,00074,50,50
EP_CP_P1201_000000075,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_50,8,22,24,v1,v1,378.5,0.009,0.043,00075,50,50
EP_CP_P1201_000000076,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_40,1,22,24,v1,v1,1741.0,0.189,0.199,00076,50,40
EP_CP_P1201_000000077,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_40,2,22,24,v1,v1,907.75,0.048,0.104,00077,50,40
EP_CP_P1201_000000078,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_40,4,22,24,v1,v1,484.75,0.011,0.055,00078,50,40
EP_CP_P1201_000000079,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,50_40,8,22,24,v1,v1,309.25,0.004,0.035,00079,50,40
EP_CP_P1201_000000080,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_90,1,22,24,v1,v1,2849.5,0.642,0.325,00080,90,90
EP_CP_P1201_000000081,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_90,2,22,24,v1,v1,2048.5,0.354,0.234,00081,90,90
EP_CP_P1201_000000082,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_90,4,22,24,v1,v1,1188.25,0.162,0.136,00082,90,90
EP_CP_P1201_000000083,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_90,8,22,24,v1,v1,792.25,0.078,0.09,00083,90,90
EP_CP_P1201_000000084,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Mid_Floor,90_80,1,22,24,v1,v1,2819.5,0.634,0.322,00084,90,80
