job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000098,00098,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,50,0.094
EP_CP_P1201_000000099,00099,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,50,0.057
EP_CP_P1201_000000100,00100,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,90,40,0.293
EP_CP_P1201_000000101,00101,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,90,40,0.168
EP_CP_P1201_000000102,00102,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,90,40,0.082
EP_CP_P1201_000000103,00103,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,90,40,0.049
EP_CP_P1201_000000104,00104,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,80,80,0.321
EP_CP_P1201_000000105,00105,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,80,80,0.223
EP_CP_P1201_000000106,00106,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,80,80,0.126
EP_CP_P1201_000000107,00107,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,80,80,0.081
EP_CP_P1201_000000108,00108,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,80,70,0.317
EP_CP_P1201_000000109,00109,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,80,70,0.211
EP_CP_P1201_000000110,00110,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,80,70,0.115
EP_CP_P1201_000000111,00111,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,80,70,0.073
EP_CP_P1201_000000112,00112,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,80,60,0.31
EP_CP_P1201_000000113,00113,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,80,60,0.199
EP_CP_P1201_000000114,00114,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,80,60,0.105
EP_CP_P1201_000000115,00115,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,80,60,0.064
EP_CP_P1201_000000116,00116,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,80,50,0.303
EP_CP_P1201_000000117,00117,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,80,50,0.183
EP_CP_P1201_000000118,00118,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,80,50,0.094
EP_CP_P1201_000000119,00119,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,80,50,0.056
EP_CP_P1201_000000120,00120,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,80,40,0.292
EP_CP_P1201_000000121,00121,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,80,40,0.166
EP_CP_P1201_000000122,00122,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,80,40,0.081
EP_CP_P1201_000000123,00123,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,80,40,0.049
EP_CP_P1201_000000124,00124,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,70,70,0.316
EP_CP_P1201_000000125,00125,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,70,70,0.21
EP_CP_P1201_000000126,00126,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,70,70,0.115
EP_CP_P1201_000000127,00127,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,70,70,0.072
EP_CP_P1201_000000128,00128,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,70,60,0.309
EP_CP_P1201_000000129,00129,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,70,60,0.197
EP_CP_P1201_000000130,00130,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,70,60,0.104
EP_CP_P1201_000000131,00131,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,70,60,0.064
EP_CP_P1201_000000132,00132,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,70,50,0.302
EP_CP_P1201_000000133,00133,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,70,50,0.182
EP_CP_P1201_000000134,00134,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,70,50,0.093
EP_CP_P1201_000000135,00135,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,70,50,0.056
EP_CP_P1201_000000136,00136,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,70,40,0.29
EP_CP_P1201_000000137,00137,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,70,40,0.165
EP_CP_P1201_000000138,00138,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,70,40,0.081
EP_CP_P1201_000000139,00139,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,70,40,0.048
EP_CP_P1201_000000140,00140,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,60,60,0.308
EP_CP_P1201_000000141,00141,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,60,60,0.196
EP_CP_P1201_000000142,00142,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,60,60,0.103
EP_CP_P1201_000000143,00143,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,60,60,0.063
EP_CP_P1201_000000144,00144,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,60,50,0.301
EP_CP_P1201_000000145,00145,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,60,50,0.18
EP_CP_P1201_000000146,00146,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,60,50,0.092
EP_CP_P1201_000000147,00147,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,60,50,0.056
EP_CP_P1201_000000148,00148,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,60,40,0.289
EP_CP_P1201_000000149,00149,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,60,40,0.163
EP_CP_P1201_000000150,00150,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,60,40,0.08
EP_CP_P1201_000000151,00151,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,60,40,0.048
EP_CP_P1201_000000152,00152,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,50,50,0.3
EP_CP_P1201_000000153,00153,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,50,50,0.179
EP_CP_P1201_000000154,00154,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,50,50,0.092
EP_CP_P1201_000000155,00155,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,50,50,0.055
EP_CP_P1201_000000156,00156,CP_P1201,GTW_DSY1,0.0,Mid_Floor,1,50,40,0.287
EP_CP_P1201_000000157,00157,CP_P1201,GTW_DSY1,0.0,Mid_Floor,2,50,40,0.162
EP_CP_P1201_000000158,00158,CP_P1201,GTW_DSY1,0.0,Mid_Floor,4,50,40,0.08
EP_CP_P1201_000000159,00159,CP_P1201,GTW_DSY1,0.0,Mid_Floor,8,50,40,0.048
EP_CP_P1201_000000160,00160,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,90,0.312
EP_CP_P1201_000000161,00161,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,90,0.247
EP_CP_P1201_000000162,00162,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,90,0.17
EP_CP_P1201_000000163,00163,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,90,0.128
EP_CP_P1201_000000164,00164,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,80,0.31
EP_CP_P1201_000000165,00165,CP_P1201,GTW_DSY1,0.0,Top_Floor,2,90,80,0.244
EP_CP_P1201_000000166,00166,CP_P1201,GTW_DSY1,0.0,Top_Floor,4,90,80,0.165
EP_CP_P1201_000000167,00167,CP_P1201,GTW_DSY1,0.0,Top_Floor,8,90,80,0.122
EP_CP_P1201_000000168,00168,CP_P1201,GTW_DSY1,0.0,Top_Floor,1,90,70,0.308
